team,logo
Super Kings,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4Zxzb65Kb14g43ERtjR8DWA03_f7jMM4SgVzO2mPPdw&s
KKR,https://i.pinimg.com/564x/f9/58/b3/f958b3fd7079a131e70ca8fd6bfc6333.jpg
Capitals,https://totalpng.com//public/uploads/preview/delhi-capitals-logo-png-download-11648376740vs4wdorgd8.png
RCB,https://logowik.com/content/uploads/images/rcb-royal-challengers-bangalore7895.logowik.com.webp
Mumbai,https://i.pinimg.com/564x/8f/7d/53/8f7d53c656c86934752bee40bc48ec0e.jpg
Royals,https://i.pinimg.com/564x/be/63/f9/be63f97f89eff774678695cb0a94e60c.jpg
Punjab Kings,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTj8DVraN2nvJ0aG_M5sS2lhSr50sR3l-2m_ovRc-WbWA&s
Titans,https://seeklogo.com/images/G/gujarat-titans-ipl-logo-6962504B75-seeklogo.com.png
Super Giants,https://i.pinimg.com/564x/8c/84/c3/8c84c3eb01f4d5b34957e37f12f103ef.jpg
Sunrisers,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqhh33KRlhO6VeyviSehXo7Z1y4Q8AjOFIgflJ67TaoNFVtYrOlkyCijqXyCrksYvJxMs&usqp=CAU
